revenue,budget,runtime_minutes,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Drama,genres_Horror,genres_other_genres,rating_PG-13,rating_R,distributor_Sony Pictures Entertainment (SPE),distributor_Twentieth Century Fox,distributor_Universal Pictures,distributor_Walt Disney Studios Motion Pictures,distributor_Warner Bros.,distributor_other_distributor
94728529,35000000.0,103.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
84772742,47000000.0,84.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
179213434,50000000.0,127.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
117487473,65000000.0,132.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
100020092,50000000.0,113.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
83282296,53000000.0,124.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
79958599,50000000.0,101.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
96976270,68000000.0,131.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
91753202,40000000.0,106.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
60780981,28000000.0,90.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54249294,75000000.0,89.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
68467960,42000000.0,91.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
67631903,75000000.0,123.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
57756408,35000000.0,123.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
44102389,32000000.0,106.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
98376292,80000000.0,101.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
59217789,10000000.0,90.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
64437847,25000000.0,98.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
87713825,107000000.0,157.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
66579890,80000000.0,145.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
43057552,35000000.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54744738,94000000.0,116.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38464131,60000000.0,94.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
85131830,137000000.0,106.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
39976235,50000000.0,95.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
74558115,35000000.0,122.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
66468332,15000000.0,89.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
33788161,22000000.0,104.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
29381649,16000000.0,130.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
27958191,6000000.0,106.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
38689940,23000000.0,97.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
30987695,17700000.0,91.0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
32533802,40000000.0,104.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
39723096,9000000.0,113.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
62112895,57000000.0,131.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
30919415,31000000.0,101.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
29715606,53000000.0,102.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
28510652,39000000.0,109.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23396049,7000000.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22391450,13000000.0,90.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
36642838,23000000.0,97.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36684136,29000000.0,96.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
19772447,34000000.0,104.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29419291,35000000.0,124.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
26086706,22000000.0,90.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
27642707,72000000.0,131.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31283740,20000000.0,93.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
23619609,30000000.0,106.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
68411275,16000000.0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19334145,57000000.0,105.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
18634654,25000000.0,86.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19937988,13000000.0,99.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
35402320,42000000.0,116.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
37317558,72000000.0,152.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
313542341,58000000.0,135.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
173921954,10000000.0,122.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
18720175,62000000.0,125.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23903791,27000000.0,125.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
24516772,38000000.0,98.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14866015,39000000.0,98.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
14333252,14000000.0,87.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
28008462,21000000.0,109.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
14782676,24000000.0,89.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
23430766,11000000.0,95.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
16908947,27000000.0,81.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
19900366,22000000.0,87.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
13127022,14000000.0,86.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
71441250,21000000.0,110.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
10031529,3000000.0,101.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
14010832,28000000.0,98.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
18914307,33000000.0,103.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
8378853,16000000.0,96.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
8704851,15000000.0,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10372291,90000000.0,104.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
13473370,18000000.0,93.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8764007,7000000.0,111.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
12320393,25000000.0,95.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
7622365,75000000.0,93.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16176732,35000000.0,88.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
4403019,16000000.0,85.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5271666,22000000.0,104.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
4299141,17000000.0,84.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
821708551,139000000.0,121.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
645256452,115000000.0,142.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
878979634,100000000.0,161.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
408247917,72000000.0,106.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
368744044,5000000.0,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
936689735,94000000.0,179.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
296938801,63000000.0,94.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
441818803,140000000.0,88.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
275650703,84000000.0,89.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
431971116,142000000.0,133.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
277448382,70000000.0,124.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
358372926,102000000.0,145.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
249348933,48000000.0,115.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
171269535,50000000.0,96.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
180622424,30000000.0,108.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
214034224,60000000.0,119.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
193921372,68000000.0,124.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
242875078,41000000.0,110.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
172989651,92000000.0,144.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
181001478,80000000.0,117.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
196397415,48000000.0,112.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
209196298,78000000.0,124.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
178799308,60000000.0,92.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
119723358,38000000.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155010032,54000000.0,117.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
115035090,33000000.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114660784,75000000.0,138.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77063924,12000000.0,102.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
102244770,36000000.0,116.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
73839240,27000000.0,116.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
113714830,46000000.0,118.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
94935764,45000000.0,98.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169956806,120000000.0,77.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79493831,5000000.0,87.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
